standard_id,standard_number,title,description,category,status,document_type,domain,keywords,related_terms,application,version_year,official_source,verification_status
1,IS 694,Polyvinyl Chloride Insulated Unsheathed and Sheathed Cables/Cords,Specifies requirements for PVC insulated cables and cords for power distribution and wiring.,Product Standard,Active,Indian Standard,Electrical,"PVC cable, electrical wire, insulated cable, house wiring","domestic wiring, low voltage cable, electrical cord",Residential and commercial wiring,2010,BIS,Verified
2,IS 1554 (Part 1),PVC Insulated (Heavy Duty) Electric Cables - Up to 1100 V,Covers heavy-duty PVC insulated cables for industrial and power distribution applications.,Product Standard,Active,Indian Standard,Electrical,"heavy duty PVC cable, power cable, industrial cable","armoured cable, low voltage power cable",Industrial and utility power grids,1988,BIS,Verified
3,IS 1554 (Part 2),PVC Insulated (Heavy Duty) Electric Cables - 3.3 kV to 11 kV,Covers requirements for heavy-duty PVC insulated cables for high voltage power distribution.,Product Standard,Active,Indian Standard,Electrical,"high voltage PVC, HT cable, power transmission","heavy duty power cable, distribution cable",High voltage industrial and utility distribution,1988,BIS,Verified
4,IS 7098 (Part 1),Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - Up to 1100 V,Specifies XLPE insulated cables for low voltage power distribution with superior thermal properties.,Product Standard,Active,Indian Standard,Electrical,"XLPE cable, power cable, cross linked polyethylene","underground cable, LV XLPE",Power transmission and distribution,1988,BIS,Verified
5,IS 7098 (Part 2),Crosslinked Polyethylene Insulated Thermoplastic Sheathed Cables - 3.3 kV to 33 kV,Covers XLPE insulated cables for medium and high voltage power transmission.,Product Standard,Active,Indian Standard,Electrical,"XLPE HT cable, medium voltage cable, cross linked polyethylene","HV underground cable, MV XLPE",High voltage power transmission,2011,BIS,Verified
6,IS 9968 (Part 1),Elastomer Insulated Cables - Up to 1100 V,Specifies requirements for elastomer insulated cables used in flexible and heavy-duty applications.,Product Standard,Active,Indian Standard,Electrical,"elastomer cable, rubber insulated cable, flexible power cable","rubber cable, heavy duty flexible",Industrial flexible wiring and mining,1988,BIS,Verified
7,IS 9968 (Part 2),Elastomer Insulated Cables - 3.3 kV to 33 kV,Covers high voltage elastomer insulated cables for specialized heavy-duty power transmission.,Product Standard,Active,Indian Standard,Electrical,"HV elastomer cable, high voltage rubber cable, flexible HT cable",rubber insulated HT cable,Specialized high voltage flexible applications,2002,BIS,Verified
8,IS 14255,Aerial Bunched Cables for Working Voltages up to 1100 V,Specifies requirements for overhead aerial bunched cables for power distribution.,Product Standard,Active,Indian Standard,Electrical,"aerial bunched cable, ABC cable, overhead power cable","overhead distribution, insulated overhead conductor",Overhead power distribution networks,1995,BIS,Verified
9,IS 17048,Halogen Free Flame Retardant (HFFR) Cables up to 1100 V,"Covers requirements for halogen-free, flame-retardant cables for safety in fire-prone areas.",Product Standard,Active,Indian Standard,Electrical,"halogen free cable, HFFR, flame retardant cable, fire resistant","low smoke zero halogen, LSZH cable",Public buildings and fire-sensitive installations,2018,BIS,Verified
10,IS 5831,PVC Insulation and Sheath of Electric Cables,Specifies the physical and electrical requirements for PVC insulation and sheathing materials.,Material Standard,Active,Indian Standard,Electrical,"PVC sheath, cable insulation, PVC material","polyvinyl chloride insulation, outer sheath",Manufacturing of PVC cables,1984,BIS,Verified
11,IS 16101,General Lighting - LEDs and LED Modules - Terms and Definitions,Provides the fundamental terminology and definitions for LED lighting systems.,Supporting Technical Document,Active,Indian Standard,LED and Lighting,"LED definitions, lighting terminology, LED modules","LED glossary, lighting terms",General reference for LED procurement,2012,BIS,Verified
12,IS 16102 (Part 1),Self-Ballasted LED Lamps for General Lighting Services - Safety Requirements,Specifies the safety and interchangeability requirements for self-ballasted LED lamps.,Safety,Active,Indian Standard,LED and Lighting,"LED lamp safety, self-ballasted LED, LED bulb","LED lighting, safe illumination",Office and domestic LED lighting,2012,BIS,Verified
13,IS 16102 (Part 2),Self-Ballasted LED Lamps for General Lighting Services - Performance Requirements,Covers the performance requirements for self-ballasted LED lamps including luminous flux and life.,Performance,Active,Indian Standard,LED and Lighting,"LED performance, LED lamp efficiency, lumen output","LED bulb specs, lighting efficiency",Office and domestic LED lighting,2012,BIS,Verified
14,IS 16103 (Part 1),LED Modules for General Lighting - Safety Requirements,Specifies safety requirements for LED modules used in general lighting applications.,Safety,Active,Indian Standard,LED and Lighting,"LED module safety, lighting module, LED array","safe LED module, lighting component safety",Commercial and industrial LED fixtures,2012,BIS,Verified
15,IS 16103 (Part 2),LED Modules for General Lighting - Performance Requirements,Covers performance standards for LED modules to ensure adequate lighting quality and longevity.,Performance,Active,Indian Standard,LED and Lighting,"LED module performance, luminous efficacy, module life","LED array specs, lighting module efficiency",Commercial and industrial LED fixtures,2012,BIS,Verified
